priceDate,arrivals,minPrice,maxPrice,modalPrice
2005-04-11,106.0,300.0,663.0,475.0
2005-04-12,1745.0,325.0,688.0,500.0
2005-04-13,1233.0,300.0,688.0,488.0
2005-04-16,1654.0,350.0,650.0,475.0
2005-04-18,26.0,350.0,650.0,475.0
2005-04-19,1436.0,313.0,675.0,475.0
2005-04-20,1374.0,344.0,688.0,450.0
2005-04-21,1530.0,350.0,688.0,450.0
2005-04-22,1300.0,350.0,675.0,475.0
2005-04-23,1974.0,350.0,675.0,450.0
2005-04-25,91.0,350.0,700.0,469.0
2005-04-26,1653.0,350.0,688.0,469.0
2005-04-27,1260.0,375.0,688.0,438.0
2005-04-28,1192.0,350.0,700.0,438.0
2005-04-29,1280.0,350.0,700.0,438.0
2005-04-30,1359.0,350.0,713.0,475.0
2005-05-02,127.0,350.0,713.0,475.0
2005-05-03,1615.0,350.0,700.0,500.0
2005-05-04,1435.0,350.0,700.0,500.0
2005-05-05,1597.0,350.0,700.0,500.0
2005-05-06,1287.0,350.0,700.0,475.0
2005-05-07,1470.0,338.0,700.0,475.0
2005-05-09,113.0,338.0,688.0,450.0
2005-05-10,1759.0,375.0,688.0,475.0
2005-05-11,1324.0,325.0,688.0,475.0
2005-05-12,1241.0,438.0,750.0,475.0
2005-05-13,1386.0,438.0,750.0,500.0
2005-05-14,1506.0,438.0,750.0,500.0
2005-05-16,111.0,438.0,750.0,500.0
2005-05-17,1528.0,438.0,750.0,475.0
2005-05-18,1297.0,438.0,750.0,500.0
2005-05-19,1611.0,425.0,688.0,500.0
2005-05-20,1183.0,425.0,700.0,500.0
2005-05-23,18.0,425.0,700.0,500.0
2005-05-24,1432.0,425.0,750.0,625.0
2005-05-26,1571.0,406.0,750.0,500.0
2005-05-27,1012.0,406.0,750.0,625.0
2005-05-28,1148.0,406.0,750.0,625.0
2005-05-30,97.0,400.0,750.0,638.0
2005-05-31,1340.0,400.0,750.0,519.0
2005-06-01,1102.0,400.0,775.0,525.0
2005-06-03,951.0,413.0,788.0,763.0
2005-06-04,1004.0,400.0,788.0,688.0
2005-06-27,29.0,425.0,875.0,781.0
2005-06-28,1199.0,425.0,875.0,625.0
2005-06-29,791.0,425.0,875.0,650.0
2005-06-30,1037.0,425.0,850.0,650.0
2005-07-01,1258.0,425.0,850.0,500.0
2005-07-02,553.0,425.0,938.0,719.0
2005-07-04,168.0,425.0,1000.0,750.0
2005-07-05,1734.0,375.0,938.0,731.0
2005-07-06,1098.0,425.0,1000.0,800.0
2005-07-07,1343.0,406.0,1063.0,938.0
2005-07-08,1238.0,375.0,1063.0,800.0
2005-07-09,1303.0,375.0,1075.0,469.0
2005-07-11,194.0,375.0,1063.0,794.0
2005-07-12,1808.0,375.0,1000.0,750.0
2005-07-13,590.0,375.0,1000.0,750.0
2005-07-14,994.0,425.0,938.0,688.0
2005-07-15,1263.0,425.0,950.0,688.0
2005-07-16,1324.0,438.0,1063.0,706.0
2005-07-18,324.0,438.0,1125.0,813.0
2005-07-19,1630.0,438.0,1150.0,813.0
2005-07-20,1057.0,400.0,1150.0,875.0
2005-07-21,1363.0,400.0,1188.0,750.0
2005-07-23,1505.0,400.0,1063.0,750.0
2005-07-25,156.0,400.0,1063.0,725.0
2005-07-26,1659.0,375.0,1125.0,875.0
2005-07-27,1256.0,375.0,1125.0,875.0
2005-07-28,1208.0,375.0,1125.0,875.0
2005-07-29,1002.0,375.0,1188.0,1000.0
2005-07-30,1181.0,375.0,1063.0,938.0
2005-08-01,1526.0,438.0,1125.0,750.0
2005-08-02,1421.0,375.0,1125.0,719.0
2005-08-04,1234.0,375.0,1063.0,781.0
2005-08-05,1431.0,375.0,1125.0,938.0
2005-08-06,1573.0,375.0,1063.0,894.0
2005-08-08,444.0,313.0,1125.0,656.0
2005-08-09,1409.0,313.0,1125.0,894.0
2005-08-11,1296.0,400.0,1075.0,688.0
